match_id,inning,batting_team,bowling_team,over,runs,wickets,winner
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,1.0,7.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,2.0,16.0,1.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,3.0,6.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,4.0,4.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,5.0,9.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,6.0,17.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,7.0,5.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,8.0,11.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,9.0,9.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,10.0,4.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,11.0,10.0,1.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,12.0,8.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,13.0,18.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,14.0,8.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,15.0,19.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,16.0,4.0,1.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,17.0,7.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,18.0,17.0,0.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,19.0,12.0,1.0,Sunrisers Hyderabad
1.0,1.0,Sunrisers Hyderabad,Royal Challengers Bangalore,20.0,16.0,0.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,1.0,11.0,0.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,2.0,1.0,0.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,3.0,16.0,0.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,4.0,15.0,0.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,5.0,5.0,0.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,6.0,6.0,1.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,7.0,7.0,1.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,8.0,13.0,0.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,9.0,11.0,0.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,10.0,13.0,0.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,11.0,13.0,0.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,12.0,7.0,1.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,13.0,8.0,1.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,14.0,4.0,1.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,15.0,9.0,0.0,Sunrisers Hyderabad
1.0,2.0,Royal Challengers Bangalore,Sunrisers Hyderabad,16.0,12.0,0.0,Sunrisers Hyderabad
